gen,fitness_min,fitness_avg,fitness_std,norm_min_x,norm_avg_x,nevals,num_clusters_min,num_clusters_avg,num_clusters_std,norm_min_y,norm_avg_y
0,147717.0,148002.23,142.90373368110437,[1.22713271],[1.2296721],100,499,499.98,0.14,-0.08354552091308916,-0.08353679599722227
1,147685.0,147808.0,75.89685983842371,[1.22684781],[1.22794288],48,500,500.0,0.0,-0.08353661793771479,-0.08353661793771479
2,137101.0,147014.73333333334,2629.4188322813,[1.13261872],[1.22088044],50,499,583.3,311.8137424809882,-0.08354552091308916,-0.08279500008902976
3,134213.0,140683.53333333333,4671.8596492427105,[1.10690693],[1.16451393],55,500,1282.8333333333333,574.1517269464192,-0.08353661793771479,-0.07656707204881204
4,131597.0,135783.5,1606.1853099813857,[1.08361674],[1.12088905],56,1210,1822.3666666666666,336.25481243974616,-0.07721550542191201,-0.07176362006849356
5,128787.0,132075.13333333333,1287.4286707317892,[1.05859938],[1.08787355],50,1941,2452.7,248.20719167663128,-0.07070743042324745,-0.06615177792418227
6,128016.0,130492.03333333334,1216.8253362290286,[1.05173519],[1.07377925],49,2161,2583.5333333333333,373.6720249392804,-0.06874877584088603,-0.06498697197936884
7,127016.0,128324.56666666667,805.3894578953023,[1.04283221],[1.05448235],56,2273,3067.4,388.2730654234637,-0.06775164259895657,-0.060679118961556956
8,125960.0,127312.53333333334,653.5710485904004,[1.03343067],[1.04547224],45,2330,3263.0666666666666,360.93562984123486,-0.06724417300261748,-0.058937103446638536
9,125383.0,126464.5,524.2213114070557,[1.02829366],[1.03792222],48,2777,3520.0666666666666,272.53035712660625,-0.06326454301027404,-0.05664903877542542
10,125015.0,125838.5,335.1849986698888,[1.02501736],[1.03234896],45,3455,3843.4666666666667,141.4790286775943,-0.057228325706451096,-0.053769816539354115
11,124883.0,125521.2,240.83845207939694,[1.02384217],[1.02952405],47,3393,3983.4666666666667,136.67985302239032,-0.057780310179662044,-0.0525233999869423
12,124883.0,125364.6,240.79999999999998,[1.02384217],[1.02812984],39,4003,4055.4,104.8,-0.052349495201296274,-0.05188297929167928
13,124833.0,125162.26666666666,302.01875585613703,[1.02339702],[1.02632847],59,4003,4135.733333333334,129.59164925085088,-0.052349495201296274,-0.051167773603271544
14,124320.0,124834.9,222.6703617457878,[1.01882979],[1.02341393],46,3409,4175.966666666666,182.6215546484648,-0.05763786257367212,-0.05080957722737606
15,124320.0,124675.83333333333,189.80675845595053,[1.01882979],[1.02199777],53,3931,4160.9,147.69097241650667,-0.05299050942825092,-0.05094371538968324
16,124005.0,124533.16666666667,284.42785650416795,[1.01602536],[1.02072761],57,3232,4231.6,210.74939303985352,-0.05921368921493563,-0.05031427503071526
17,124005.0,124306.7,197.4806572806562,[1.01602536],[1.01871138],40,4282,4379.4,136.0131366204505,-0.04986556507184701,-0.048998415270383365
18,124005.0,124049.7,134.1,[1.01602536],[1.01642332],42,4282,4564.6,94.19999999999997,-0.04986556507184701,-0.04734958423105001
19,124005.0,124005.0,0.0,[1.01602536],[1.01602536],60,4596,4596.0,0.0,-0.047070030804294796,-0.047070030804294796
20,123787.0,123964.76666666666,80.55916390385944,[1.01408451],[1.01566716],49,4596,4628.9,65.84899391790279,-0.047070030804294796,-0.04677712291447802
21,123787.0,123861.63333333333,92.04110796571038,[1.01408451],[1.01474897],61,4596,4712.266666666666,74.63061629712628,-0.047070030804294796,-0.046034911534101365
22,123702.0,123862.86666666667,295.7378042944272,[1.01332775],[1.01475995],52,3744,4707.366666666667,254.40918266096887,-0.05465536582325813,-0.04607853611343578
23,123657.0,123757.5,45.64555473062702,[1.01292712],[1.01382187],59,4729,4795.2,36.36976766491642,-0.04588593507950357,-0.04529655810972027
24,123627.0,123693.16666666667,40.621901591246186,[1.01266003],[1.01324911],48,4721,4846.533333333334,37.77630062471561,-0.04595715888249853,-0.044839538707169266
